titulo,Ano lançamento,Descrição,Nota,Diretor,Votos,Genero
13,Ruído Branco,2022,"
Dramatizes a contemporary American family's attempts to deal with the mundane conflicts of everyday life while grappling with the universal mysteries of love, death, and the possibility of happiness in an uncertain world.",5.7,Noah Baumbach ,"26,944","
Comedy, Drama, Horror            "
14,Trem-Bala,2022,"
Five assassins aboard a swiftly-moving bullet train find out that their missions have something in common.",7.3,David Leitch ,"265,138","
Action, Comedy, Thriller            "
15,Renfield - Dando o Sangue Pelo Chefe,2023,"
Dracula's henchman and inmate at the lunatic asylum.",,Chris McKay ,,"
Comedy, Fantasy, Horror            "
16,Beau Is Afraid,2023,"
A decades-spanning portrait of one of the most successful entrepreneurs of all time.",,Ari Aster ,,"
Comedy, Drama, Mystery            "
17,Triângulo da Tristeza,2022,"
A fashion model celebrity couple join an eventful cruise for the super-rich.",7.5,Ruben Östlund ,"60,128","
Comedy, Drama            "
18,Esquema de Risco - Operação Fortune,2023,"
Special agent Orson Fortune and his team of operatives recruit one of Hollywood's biggest movie stars to help them on an undercover mission when the sale of a deadly new weapons technology threatens to disrupt the world order.",6.7,Guy Ritchie ,"6,290","
Action, Comedy, Thriller            "
19,Amsterdam,2022,"
In the 1930s, three friends witness a murder, are framed for it, and uncover one of the most outrageous plots in American history.",6.1,David O. Russell ,"56,167","
Comedy, Drama, History            "
20,The Bear,2022,"
A young chef from the fine dining world returns to Chicago to run his family's sandwich shop.",8.4,,"72,504","
Comedy, Drama            "
21,Night Court,2023,"
Follows judge Abby Stone, as she presides over the night shift of a Manhattan arraignment court and tries to bring order to its crew.",6.1,,295,"
Comedy            "
22,The Boys,2019,"
A group of vigilantes set out to take down corrupt superheroes who abuse their superpowers.",8.7,,"513,624","
Action, Comedy, Crime            "
23,Emily em Paris,2020,"
A young American woman from the Midwest is hired by a marketing firm in Paris to provide them with an American perspective on things.",6.9,,"99,720","
Comedy, Drama, Romance            "
24,Vida de Escritório,2005,"
A mockumentary on a group of typical office workers, where the workday consists of ego clashes, inappropriate behavior, and tedium.",9.0,,"607,886","
Comedy            "
25,Abbott Elementary,2021,"
Follows a group of teachers brought together in one of the worst public schools in the country, simply because they love teaching.",8.2,,"18,646","
Comedy            "
26,Matilda: O Musical,2022,"
An adaptation of the Tony and Olivier award-winning musical. Matilda tells the story of an extraordinary girl who, armed with a sharp mind and a vivid imagination, dares to take a stand to change her story with miraculous results.",7.1,Matthew Warchus ,"16,588","
Comedy, Drama, Family            "
27,Ted Lasso,2020,"
American college football coach Ted Lasso heads to London to manage AFC Richmond, a struggling English Premier League football team.",8.8,,"222,567","
Comedy, Drama, Sport            "
28,Big Bang: A Teoria,2007,"
A woman who moves into an apartment across the hall from two brilliant but socially awkward physicists shows them how little they know about life outside of the laboratory.",8.2,,"813,489","
Comedy, Romance            "
29,Night Court,1984,"
An eccentric fun-loving judge presides over an urban night court and all the silliness going on there.",7.7,,"14,961","
Comedy            "
30,Oito é Demais,1977,"
This comedy drama focused on a family with eight very independent children.",6.6,,"3,248","
Comedy, Drama, Family            "
31,Friends,1994,"
Follows the personal and professional lives of six twenty to thirty year-old friends living in the Manhattan borough of New York City.",8.9,,"1,002,441","
Comedy, Romance            "
32,Era Uma Vez Em... Hollywood,2019,"
A faded television actor and his stunt double strive to achieve fame and success in the final years of Hollywood's Golden Age in 1969 Los Angeles.",7.6,Quentin Tarantino ,"745,245","
Comedy, Drama            "
33,Mundo Estranho,2022,"
The legendary Clades are a family of explorers whose differences threaten to topple their latest and most crucial mission.",5.6,"Don Hall, Qui Nguyen ","30,272","
Animation, Action, Adventure            "
34,Rick e Morty,2013,"
An animated series that follows the exploits of a super scientist and his not-so-bright grandson.",9.1,,"530,171","
Animation, Adventure, Comedy            "
35,Jovem Sheldon,2017,"
Meet a child genius named Sheldon Cooper (already seen as an adult in Big Bang: A Teoria (2007)) and his family. Some unique challenges face Sheldon, who is socially impaired.",7.6,,"64,629","
Comedy            "
36,Ghosts,2021,"
A young couple's dreams come true when they inherit a beautiful country house, only to find it's both falling apart and inhabited by many of the deceased previous residents.",7.8,,"18,547","
Comedy, Fantasy            "
37,Suits,2011,"
On the run from a drug deal gone bad, brilliant college dropout Mike Ross finds himself working with Harvey Specter, one of New York City's best lawyers.",8.5,,"414,487","
Comedy, Drama            "
38,It's Always Sunny in Philadelphia,2005,"
Five friends with big egos and small brains are the proprietors of an Irish pub in Philadelphia.",8.8,,"228,139","
Comedy            "
39,Família Moderna,2009,"
Three different but related families face trials and tribulations in their own uniquely comedic ways.",8.5,,"435,175","
Comedy, Drama, Romance            "
40,Death in Paradise,2011,"
A Detective Inspector is transferred from London to the Caribbean island of Saint-Marie to investigate and solve complex murders.",7.8,,"22,157","
Comedy, Crime, Drama            "
41,Noite Infeliz,2022,"
When a group of mercenaries attack the estate of a wealthy family, Santa Claus must step in to save the day (and Christmas).",6.8,Tommy Wirkola ,"52,957","
Action, Comedy, Crime            "
42,Casamento Armado,2022,"
A couple's extravagant destination wedding is hijacked by criminals. In the process of saving their families, they rediscover why they fell in love in the first place.",6.0,Jason Moore ,"1,008","
Action, Comedy, Romance            "
43,Seinfeld,1989,"
The continuing misadventures of neurotic New York City stand-up comedian Jerry Seinfeld and his equally neurotic New York City friends.",8.9,,"322,212","
Comedy            "
44,Shameless,2011,"
A scrappy, feisty, fiercely loyal Chicago family makes no apologies.",8.6,,"245,793","
Comedy, Drama            "
45,Bones,2005,"
Forensic anthropologist Dr. Temperance ""Bones"" Brennan and cocky F.B.I. Special Agent Seeley Booth build a team to investigate murders. Quite often, there isn't more to examine than rotten flesh or mere bones.",7.8,,"161,955","
Comedy, Crime, Drama            "
46,Patrulha do Destino,2019,"
The adventures of an idealistic mad scientist and his field team of superpowered outcasts.",7.8,,"54,161","
Action, Adventure, Comedy            "
47,That '90s Show,2023,"
Now it's 1995, Leia Forman is visiting her grandparents for the summer where she bonds with a new generation of Point Place, WI, kids under the watchful eye of Kitty and the stern glare of Red.",,,,"
Comedy, Drama, Romance            "
48,80 for Brady,2023,"
A group of friends made it their life-long mission to go to the Super Bowl and meet NFL superstar Tom Brady.",4.2,Kyle Marvin ,144,"
Comedy, Drama, Sport            "
49,Koala Man,2023,"
Follows a family father who lives a not-so-secret identity as the titular hero who possesses a burning passion to snuff out petty crime.",6.9,,764,"
Animation, Action, Adventure            "
50,Barbie,2023,"
To live in Barbie Land is to be a perfect being in a perfect place. Unless you have a full-on existential crisis. Or you're a Ken.",,Greta Gerwig ,,"
Adventure, Comedy, Fantasy            "
51,Uma Família da Pesada,1999,"
In a wacky Rhode Island town, a dysfunctional family strives to cope with everyday life as they are thrown from one crazy scenario to another.",8.2,,"343,230","
Animation, Comedy            "
52,A Vida Sexual das Universitárias,2021,"
Four 18-year-old freshman roommates at Essex College in Vermont. A bundle of contradictions and hormones, these sexually active college girls are equal parts lovable and infuriating.",7.8,,"22,135","
Comedy            "
53,Mythic Quest: Raven's Banquet,2020,"
The owner of a successful video game design company and his troubled staff struggle to keep their hit game 'Mythic Quest' on top.",7.8,,"26,544","
Comedy            "
54,Nossa Bandeira É a Morte,2022,"
The year is 1717. Wealthy landowner Stede Bonnet has a midlife crisis and decides to blow up his cushy life to become a pirate. It does not go well. Based on a true story.",7.8,,"27,598","
Action, Adventure, Biography            "
55,Gato de Botas,2011,"
An outlaw cat, his childhood egg-friend, and a seductive thief kitty set out in search for the eggs of the fabled Golden Goose to clear his name, restore his lost honor, and regain the trust of his mother and town.",6.6,Chris Miller ,"166,718","
Animation, Adventure, Comedy            "
56,Only Murders in the Building,2021,"
Three strangers bonded by their love of true crime podcasts record their own to accompany their investigations of murders in their building on the Upper West Side of New York.",8.1,,"105,241","
Comedy, Crime, Drama            "
57,Mal de Família,2022,"
Follows the Garvey sisters, who are bound together by the death of their parents and a promise to always protect each other.",8.3,,"18,348","
Comedy, Drama, Thriller            "
58,Disque Amiga para Matar,2019,"
A series about a powerful friendship that blossoms between a tightly wound widow and a free spirit with a shocking secret.",8.0,,"88,980","
Comedy, Crime, Drama            "
59,Community,2009,"
A suspended lawyer is forced to enroll in a community college with an eccentric staff and student body.",8.5,,"268,355","
Comedy            "
60,Lei & Desordem,2013,"
Comedy series following the exploits of Det. Jake Peralta and his diverse, lovable colleagues as they police the NYPD's 99th Precinct.",8.4,,"320,768","
Comedy, Crime            "
61,That '70s Show,1998,"
A comedy revolving around a group of teenage friends, their mishaps, and their coming of age, set in 1970s Wisconsin.",8.1,,"174,273","
Comedy, Drama, Romance            "
62,Atlanta,2016,"
Earn and his cousin Alfred, based in Atlanta, try to make their way in the world through the rap scene. Along the way they come face-to-face with social and economic issues touching on race, relationships, poverty, status, and parenthood.",8.6,,"76,050","
Comedy, Drama, Music            "
63,One Piece,1999,"
Follows the adventures of Monkey D. Luffy and his pirate crew in order to find the greatest treasure ever left by the legendary Pirate, Gold Roger. The famous mystery treasure named ""One Piece"".",8.9,,"128,521","
Animation, Action, Adventure            "
64,Matilda,1996,"
A girl gifted with a keen intellect and psychic powers uses both to deal with her crude, distant family and free her kind teacher from their sadistic headmistress.",7.0,Danny DeVito ,"158,306","
Comedy, Family, Fantasy            "
65,"Gilmore Girls: Tal Mãe, Tal Filha",2000,"
A dramedy centering around the relationship between a thirtysomething single mother and her teen daughter living in Stars Hollow, Connecticut.",8.2,,"129,860","
Comedy, Drama            "
66,Como Eu Conheci Sua Mãe,2005,"
A father recounts to his children - through a series of flashbacks - the journey he and his four best friends took leading up to him meeting their mother.",8.3,,"687,920","
Comedy, Romance            "
67,Your Place or Mine,2023,"
Two long-distance best friends change each other's lives when she decides to pursue a lifelong dream and he volunteers to keep an eye on her teenage son.",,Aline Brosh McKenna ,,"
Comedy, Romance            "
68,Super Mario Bros. O Filme,2023,"
The story of The Super Mario Bros. on their journey through the Mushroom Kingdom",,"Aaron Horvath, Michael Jelenic ",,"
Animation, Adventure, Comedy            "
69,House Party,2023,"
From New Line Cinema comes your VIP ticket into the hottest event of the year:""House Party,"" the remix to the fan-favorite '90s classic.",4.7,Calmatic ,498,"
Comedy            "
70,Criaturas Grandes e Pequenas,2020,"
The numerous adventures of a friendly staff at a country veterinarian practice in 1930s to 1940s Yorkshire.",8.6,,"12,315","
Comedy, Drama            "
71,New Girl,2011,"
After a bad break-up, Jess, an offbeat young woman, moves into an apartment loft with three single men. Although they find her behavior very unusual, the men support her - most of the time.",7.8,,"227,254","
Comedy, Romance            "
72,Sex Education,2019,"
A teenage boy with a sex therapist mother teams up with a high school classmate to set up an underground sex therapy clinic at school.",8.3,,"285,961","
Comedy, Drama            "
73,Ingresso para o Paraíso,2022,"
A divorced couple teams up and travels to Bali to stop their daughter from making the same mistake they think they made 25 years ago.",6.2,Ol Parker ,"36,641","
Comedy, Romance            "
74,Thor: Amor e Trovão,2022,"
Thor enlists the help of Valkyrie, Korg and ex-girlfriend Jane Foster to fight Gorr the God Butcher, who intends to make the gods extinct.",6.3,Taika Waititi ,"335,923","
Action, Adventure, Comedy            "
75,Os Simpsons,1989,"
The satiric adventures of a working-class family in the misfit city of Springfield.",8.7,,"410,081","
Animation, Comedy            "
76,Grease: Nos Tempos da Brilhantina,1978,"
Good girl Sandy Olsson and greaser Danny Zuko fell in love over the summer. When they unexpectedly discover they're now in the same high school, will they be able to rekindle their romance?",7.2,Randal Kleiser ,"280,453","
Comedy, Musical, Romance            "
77,Encanto,2021,"
A Colombian teenage girl has to face the frustration of being the only member of her family without magical powers.",7.2,"Jared Bush, Byron Howard, Charise Castro Smith ","225,498","
Animation, Comedy, Family            "
78,Veja Como Eles Correm,2022,"
In the West End of 1950s London, plans for a movie version of a smash-hit play come to an abrupt halt after a pivotal member of the crew is murdered.",6.5,Tom George ,"44,803","
Comedy, Crime, Mystery            "
79,Os Goonies,1985,"
A group of young misfits called The Goonies discover an ancient map and set out on an adventure to find a legendary pirate's long-lost treasure.",7.7,Richard Donner ,"277,775","
Adventure, Comedy, Family            "
80,A Família Addams,1991,"
Con artists plan to fleece an eccentric family using an accomplice who claims to be their long-lost uncle.",6.9,Barry Sonnenfeld ,"168,083","
Comedy, Fantasy            "
81,O Lobo de Wall Street,2013,"
Based on the true story of Jordan Belfort, from his rise to a wealthy stock-broker living the high life to his fall involving crime, corruption and the federal government.",8.2,Martin Scorsese ,"1,418,430","
Biography, Comedy, Crime            "
82,Castle,2009,"
After a serial killer imitates the plots of his novels, successful mystery novelist Richard ""Rick"" Castle receives permission from the Mayor of New York City to tag along with an NYPD homicide investigation team for research purposes.",8.1,,"164,055","
Comedy, Crime, Drama            "
83,Meus Vizinhos são um Terror,1989,"
An overstressed suburbanite and his neighbors are convinced that the new family on the block is part of a murderous Satanic cult.",6.8,Joe Dante ,"77,301","
Comedy, Mystery, Thriller            "
84,Letterkenny,2016,"
Quick-witted, fast-paced snappy comedy about rural folk getting by in a small town.",8.7,,"24,322","
Comedy            "
85,Projeto Mindy,2012,"
A young Ob/Gyn doctor balances her personal and professional life, surrounded by quirky co-workers in a small office.",7.5,,"32,648","
Comedy            "
86,Na Mira do Chefe,2008,"
Guilt-stricken after a job gone wrong, hitman Ray and his partner await orders from their ruthless boss in Bruges, Belgium, the last place in the world Ray wants to be.",7.9,Martin McDonagh ,"433,250","
Comedy, Crime, Drama            "
87,O Peso do Talento,2022,"
In this action-packed comedy, Nicolas Cage plays Nick Cage, channeling his iconic characters as he's caught between a superfan (Pedro Pascal) and a CIA agent (Tiffany Haddish).",7.0,Tom Gormican ,"92,758","
Action, Comedy, Crime            "
88,This Is Us,2016,"
A heartwarming and emotional story about a unique set of triplets, their struggles and their wonderful parents.",8.7,,"145,827","
Comedy, Drama, Romance            "
89,Detectoristas,2014,"
The lives of two eccentric metal detectorists, who spend their days plodding along ploughed tracks and open fields, hoping to disturb the tedium by unearthing the fortune of a lifetime.",8.6,,"16,132","
Comedy            "
90,Parks & Recreation: Confusões de Leslie,2009,"
The absurd antics of an Indiana town's public officials as they pursue sundry projects to make their city a better place.",8.6,,"261,931","
Comedy            "
91,Dois Homens e Meio,2003,"
A hedonistic jingle writer's free-wheeling life comes to an abrupt halt when his brother and 10-year-old nephew move into his beach-front house.",7.1,,"265,925","
Comedy, Romance            "
92,Taaza Khabar,2023,"
A Sanitation worker, how he stumbles upon magical powers which leads to a riveting new ride for the man, and how it stirs his humble life.",8.4,,"38,767","
Action, Comedy, Drama            "
93,Magnatas do Crime,2019,"
An American expat tries to sell off his highly profitable marijuana empire in London, triggering plots, schemes, bribery and blackmail in an attempt to steal his domain out from under him.",7.8,Guy Ritchie ,"344,458","
Action, Comedy, Crime            "
94,South Park,1997,"
Follows the misadventures of four irreverent grade-schoolers in the quiet, dysfunctional town of South Park, Colorado.",8.7,,"372,055","
Animation, Comedy            "
95,Machos Alfa,2022,"
Pedro, Luis, Raúl and Santi are four friends who feel a bit lost in the new world of empowered women, each trying to adjust in their own haphazard way.",7.4,,"1,801","
Comedy            "
96,Cobra Kai,2018,"
Decades after their 1984 All Valley Karate Tournament bout, a middle-aged Daniel LaRusso and Johnny Lawrence find themselves martial-arts rivals again.",8.5,,"187,325","
Action, Comedy, Drama            "
97,American Pie: A Primeira Vez é Inesquecível,1999,"
Four teenage boys enter a pact to lose their virginity by prom night.",7.0,"Paul Weitz, Chris Weitz ","411,075","
Comedy            "
98,Weird: The Al Yankovic Story,2022,"
Explores every facet of Yankovic's life, from his meteoric rise to fame with early hits like 'Eat It' and 'Like a Surgeon' to his torrid celebrity love affairs and famously depraved lifestyle.",7.0,Eric Appel ,"23,912","
Biography, Comedy, Music            "
99,Scott Pilgrim Contra o Mundo,2010,"
In a magically realistic version of Toronto, a young man must defeat his new girlfriend's seven evil exes one by one in order to win her heart.",7.5,Edgar Wright ,"430,712","
Action, Comedy, Fantasy            "
100,Avatar: O Caminho da Água,2022,"
Jake Sully lives with his newfound family formed on the extrasolar moon Pandora. Once a familiar threat returns to finish what was previously started, Jake must work with Neytiri and the army of the Na'vi race to protect their home.",7.9,James Cameron ,"239,678","
Action, Adventure, Fantasy            "
101,M3gan,2022,"
A robotics engineer at a toy company builds a life-like doll that begins to take on a life of its own.",6.7,Gerard Johnstone ,"18,168","
Horror, Sci-Fi, Thriller            "
102,The Last of Us,2023,"
Joel and Ellie, a pair connected through the harshness of the world they live in, are forced to endure brutal circumstances and ruthless killers on a trek across post-pandemic America.",9.4,,"47,721","
Action, Adventure, Drama            "
103,Tudo em Todo Lugar ao Mesmo Tempo,2022,"
A middle-aged Chinese immigrant is swept up in an insane adventure in which she alone can save existence by exploring other universes connecting with the lives she could have led.",8.0,"Dan Kwan, Daniel Scheinert ","287,667","
Action, Adventure, Comedy            "
104,Homem-Formiga e a Vespa: Quantumania,2023,"
Scott Lang and Hope Van Dyne, along with Hank Pym and Janet Van Dyne, explore the Quantum Realm, where they interact with strange creatures and embark on an adventure that goes beyond the limits of what they thought was possible.",,Peyton Reed ,,"
Action, Adventure, Comedy            "
105,Avatar,2009,"
A paraplegic Marine dispatched to the moon Pandora on a unique mission becomes torn between following his orders and protecting the world he feels is his home.",7.9,James Cameron ,"1,304,591","
Action, Adventure, Fantasy            "
106,Alice in Borderland,2020,"
A group of bored delinquents are transported to a parallel dimension as part of a survival game.",7.7,,"70,199","
Action, Drama, Mystery            "
107,Andor,2022,"
Prequel series to Star Wars' 'Rogue One'. In an era filled with danger, deception and intrigue, Cassian will embark on the path that is destined to turn him into a Rebel hero.",8.4,,"110,214","
Action, Adventure, Drama            "
108,Stranger Things,2016,"
When a young boy disappears, his mother, a police chief and his friends must confront terrifying supernatural forces in order to get him back.",8.7,,"1,199,084","
Drama, Fantasy, Horror            "
109,Ruptura,2022,"
Mark leads a team of office workers whose memories have been surgically divided between their work and personal lives. When a mysterious colleague appears outside of work, it begins a journey to discover the truth about their jobs.",8.7,,"128,521","
Drama, Mystery, Sci-Fi            "
110,The Boys,2019,"
A group of vigilantes set out to take down corrupt superheroes who abuse their superpowers.",8.7,,"513,624","
Action, Comedy, Crime            "
111,Jurassic World Domínio,2022,"
Four years after the destruction of Isla Nublar, Biosyn operatives attempt to track down Maisie Lockwood, while Dr Ellie Sattler investigates a genetically engineered swarm of giant insects.",5.6,Colin Trevorrow ,"162,944","
Action, Adventure, Sci-Fi            "
112,Pantera Negra: Wakanda para Sempre,2022,"
The people of Wakanda fight to protect their home from intervening world powers as they mourn the death of King T'Challa.",7.2,Ryan Coogler ,"138,338","
Action, Adventure, Drama            "
113,Adão Negro,2022,"
Nearly 5,000 years after he was bestowed with the almighty powers of the Egyptian gods--and imprisoned just as quickly--Black Adam is freed from his earthly tomb, ready to unleash his unique form of justice on the modern world.",6.4,Jaume Collet-Serra ,"208,306","
Action, Adventure, Fantasy            "
114,Doctor Who,2005,"
The further adventures in time and space of the alien adventurer known as the Doctor and their companions from planet Earth.",8.6,,"227,545","
Adventure, Drama, Sci-Fi            "
115,Mundo Estranho,2022,"
The legendary Clades are a family of explorers whose differences threaten to topple their latest and most crucial mission.",5.6,"Don Hall, Qui Nguyen ","30,272","
Animation, Action, Adventure            "
116,Periféricos,2022,"
Set in the future when technology has subtly altered society, a woman discovers a secret connection to an alternate reality as well as a dark future of her own.",7.7,,"57,500","
Drama, Mystery, Sci-Fi            "
117,Rick e Morty,2013,"
An animated series that follows the exploits of a super scientist and his not-so-bright grandson.",9.1,,"530,171","
Animation, Adventure, Comedy            "
118,Star Wars: The Bad Batch,2021,"
The 'Bad Batch' of elite and experimental clones make their way through an ever-changing galaxy in the immediate aftermath of the Clone Wars.",7.8,,"36,656","
Animation, Action, Adventure            "
119,História de Horror Americana,2011,"
An anthology series centering on different characters and locations, including a house with a murderous past, an insane asylum, a witch coven, a freak show circus, a haunted hotel, a possessed farmhouse, a cult, the apocalypse, a slasher summer camp, a bleak beach town and desert valley, and NYC.",8.0,,"322,058","
Drama, Horror, Sci-Fi            "
120,Não! Não Olhe!,2022,"
The residents of a lonely gulch in inland California bear witness to an uncanny and chilling discovery.",6.9,Jordan Peele ,"190,088","
Horror, Mystery, Sci-Fi            "
121,Patrulha do Destino,2019,"
The adventures of an idealistic mad scientist and his field team of superpowered outcasts.",7.8,,"54,161","
Action, Adventure, Comedy            "
122,O Conto da Aia,2017,"
Set in a dystopian future, a woman is forced to live as a concubine under a fundamentalist theocratic dictatorship.",8.4,,"241,135","
Drama, Sci-Fi, Thriller            "
123,O Mandaloriano,2019,"
The travels of a lone bounty hunter in the outer reaches of the galaxy, far from the authority of the New Republic.",8.7,,"486,743","
Action, Adventure, Fantasy            "
124,Black Mirror,2011,"
An anthology series exploring a twisted, high-tech multiverse where humanity's greatest innovations and darkest instincts collide.",8.8,,"552,561","
Drama, Mystery, Sci-Fi            "
125,Dark,2017,"
A family saga with a supernatural twist, set in a German town where the disappearance of two young children exposes the relationships among four families.",8.7,,"394,179","
Crime, Drama, Mystery            "
126,Manifesto,2018,"
A commercial airliner suddenly reappears after being missing for five years. As those aboard reintegrate into society, they experience guiding voices and visions of events yet to occur, and soon a deeper mystery unfolds.",7.1,,"69,290","
Drama, Mystery, Sci-Fi            "
127,Fear the Walking Dead,2015,"
A Walking Dead spinoff set in Los Angeles, California. Follows two families who must band together to survive the undead apocalypse.",6.8,,"131,546","
Drama, Horror, Sci-Fi            "
128,Interestelar,2014,"
A team of explorers travel through a wormhole in space in an attempt to ensure humanity's survival.",8.6,Christopher Nolan ,"1,840,686","
Adventure, Drama, Sci-Fi            "
129,Flash,2014,"
After being struck by lightning, Barry Allen wakes up from his coma to discover he's been given the power of super speed, becoming the Flash, and fighting crime in Central City.",7.6,,"348,057","
Action, Adventure, Drama            "
130,Lost,2004,"
The survivors of a plane crash are forced to work together in order to survive on a seemingly deserted tropical island.",8.3,,"556,960","
Adventure, Drama, Fantasy            "
131,Duna,2021,"
A noble family becomes embroiled in a war for control over the galaxy's most valuable asset while its heir becomes troubled by visions of a dark future.",8.0,Denis Villeneuve ,"640,759","
Action, Adventure, Drama            "
132,Arquivo X,1993,"
Two F.B.I. Agents, Fox Mulder the believer and Dana Scully the skeptic, investigate the strange and unexplained, while hidden forces work to impede their efforts.",8.6,,"228,516","
Crime, Drama, Mystery            "
133,Super Mario Bros. O Filme,2023,"
The story of The Super Mario Bros. on their journey through the Mushroom Kingdom",,"Aaron Horvath, Michael Jelenic ",,"
Animation, Adventure, Comedy            "
134,Gravidade,2013,"
Two astronauts work together to survive after an accident leaves them stranded in space.",7.7,Alfonso Cuarón ,"830,123","
Drama, Sci-Fi, Thriller            "
135,Sandman,2022,"
Upon escaping after decades of imprisonment by a mortal wizard, Dream, the personification of dreams, sets about to reclaim his lost equipment.",7.7,,"147,676","
Drama, Fantasy, Horror            "
136,Thor: Amor e Trovão,2022,"
Thor enlists the help of Valkyrie, Korg and ex-girlfriend Jane Foster to fight Gorr the God Butcher, who intends to make the gods extinct.",6.3,Taika Waititi ,"335,923","
Action, Adventure, Comedy            "
137,Megalopolis,,"
An architect wants to rebuild New York City as a utopia following a devastating disaster.",,Francis Ford Coppola ,,"
Drama, Sci-Fi            "
138,Homem-Aranha: Sem Volta para Casa,2021,"
With Spider-Man's identity now revealed, Peter asks Doctor Strange for help. When a spell goes wrong, dangerous foes from other worlds start to appear, forcing Peter to discover what it truly means to be Spider-Man.",8.2,Jon Watts ,"760,749","
Action, Adventure, Fantasy            "
139,Quantum Leap,2022,"
Set 30 years after Dr. Sam Beckett stepped into the Quantum Leap accelerator and vanished, follows a new team that must restart the project hoping to understand the mysteries behind the machine and its creator.",5.7,,"5,901","
Drama, Mystery, Sci-Fi            "
140,Titãs,2018,"
A team of young superheroes combat evil and other perils.",7.6,,"102,804","
Action, Adventure, Crime            "
141,Vingadores: Ultimato,2019,"
After the devastating events of Vingadores: Guerra Infinita (2018), the universe is in ruins. With the help of remaining allies, the Avengers assemble once more in order to reverse Thanos' actions and restore balance to the universe.",8.4,"Anthony Russo, Joe Russo ","1,137,018","
Action, Adventure, Drama            "
142,A Origem,2010,"
A thief who steals corporate secrets through the use of dream-sharing technology is given the inverse task of planting an idea into the mind of a C.E.O., but his tragic past may doom the project and his team to disaster.",8.8,Christopher Nolan ,"2,359,938","
Action, Adventure, Sci-Fi            "
143,Blade Runner 2049,2017,"
Young Blade Runner K's discovery of a long-buried secret leads him to track down former Blade Runner Rick Deckard, who's been missing for thirty years.",8.0,Denis Villeneuve ,"580,302","
Action, Drama, Mystery            "
144,Jornada nas Estrelas: A Nova Geração,1987,"
Set almost 100 years after Captain Kirk's 5-year mission, a new generation of Starfleet officers set off in the U.S.S. Enterprise-D on its own mission to go where no one has gone before.",8.7,,"122,488","
Action, Adventure, Sci-Fi            "
145,Jurassic Park,1993,"
A pragmatic paleontologist touring an almost complete theme park on an island in Central America is tasked with protecting a couple of kids after a power failure causes the park's cloned dinosaurs to run loose.",8.2,Steven Spielberg ,"993,057","
Action, Adventure, Sci-Fi            "
146,For All Mankind,2019,"
In an alternative version of 1969, the Soviet Union beats the United States to the Moon, and the space race continues on for decades with still grander challenges and goals.",8.0,,"45,038","
Drama, Sci-Fi            "
